id,title,severity,component,description,impact,kind,report
L-05,Unchecked message size in call(),Low,executor,The executor's `call` function accepts input `data` of any size without validation. There is no check to limit the size of the message being passed to a contract for execution.,Allowing arbitrarily large messages to be processed can lead to excessive gas consumption and potential Denial of Service (DoS) attacks by forcing the system to handle oversized inputs.,Input Validation,2024 H2/2410-hydration-pashov/hydration-pashov-2410.json
S3-43,ExistentialDeposit is configured to 0,High,runtime,"The ExistentialDeposit parameter, which is designed to facilitate the automatic removal of inactive accounts, is set to zero in the Peaq runtime. This configuration disables the cleanup mechanism, causing account data to be permanently stored on-chain even if the account has no balance.","This allows for storage spamming attacks where an attacker can cheaply create a vast number of accounts, leading to blockchain bloat, degraded node performance, and increased operational overhead.",Configuration,2024 H2/2409-peaq-srl/peaq-srl-2409.json
S3-40,Incorrectly on_finalize weights might lead to denial-of-service attacks,High,pallets/parachains-staking,"The `on_initialize` hook uses a static weight for its calculations, failing to dynamically simulate the actual weight that will be consumed by the `on_finalize` hook later. This leads to an underestimation of the computational resources required for block finalization.","The miscalculation of weights increases the risk of producing overweight blocks. Such blocks may be rejected by the network, leading to service disruptions and an inability to finalize transactions.",Implementation,2024 H2/2409-peaq-srl/peaq-srl-2409.json
S3-39,Collator can drain delegator's rewards by manipulation commission rate,High,pallets/parachains-staking,"A collator can change their commission rate at any time without restriction. A malicious collator can attract delegators by advertising a low commission rate and then, after securing delegations, raise the rate to 100% to divert all staking rewards to themselves.","Delegators are exposed to significant financial loss, as their rewards can be redirected entirely without their consent. This undermines trust in the staking system and discourages network participation.",Design,2024 H2/2409-peaq-srl/peaq-srl-2409.json
S3-36,Missing trait-in-use checks in _validateTraitOwnership enables infinite minting,High,contracts/SolarSeekers.sol,"The minting process lacks a mechanism to verify whether a specific base trait has already been used to create a derived token. The `_validateTraitOwnership` function confirms ownership but does not track trait usage, permitting the same traits to be reused indefinitely.","This allows for the unlimited minting of derived tokens from a finite set of base traits, which devalues the entire NFT collection. The resulting inflation erodes user trust and causes financial losses for holders.",Access Control,2024 H2/2409-peaq-srl/peaq-srl-2409.json
S2-37,Single trait approval for NFT minting limits usability and efficiency,Medium,contracts/SolarSeekerTraits.sol,"The current approval mechanism only permits a user to have one approved trait at a time. Since minting a final NFT requires at least four traits, users must engage in a repetitive and cumbersome cycle of requesting approval and minting for each individual trait.","This design leads to a poor user experience, increases the likelihood of errors from overwritten approvals, and results in higher gas costs due to the necessity of multiple transactions.",Design,2024 H2/2409-peaq-srl/peaq-srl-2409.json
S2-35,Trait token may be reused to satisfy multiple trait slots,Medium,contracts/SolarSeekers.sol,"The system fails to enforce the uniqueness of traits used in the minting process, allowing a user to reuse the same trait token to fill multiple slots. This allows a derived NFT to be minted with only a single valid trait instead of the required four distinct ones.","This issue undermines the non-fungibility of the derived tokens and misleads users about their uniqueness. It breaks the intended supply bounding of derived minting, potentially devaluing the assets.",Implementation,2024 H2/2409-peaq-srl/peaq-srl-2409.json
S2-18,Permissive `GasLimitStorageGrowthRatio` leads to excessive storage growth,Medium,runtime,The `GasLimitStorageGrowthRatio` is configured to a 1-to-1 ratio between gas consumption and storage growth. This setting makes on-chain storage disproportionately cheap compared to the computational cost.,"This configuration creates a risk of cheap storage bloating, where an attacker could flood the blockchain with storage-heavy transactions at a low cost, severely affecting network scalability and maintainability.",Configuration,2024 H2/2409-peaq-srl/peaq-srl-2409.json
S2-16,Incorrect benchmarks for `pallet_evm`,Medium,runtime,The `pallet_evm` uses default Substrate benchmarks instead of benchmarks tailored to the specific Peaq runtime configuration. Default benchmarks do not accurately reflect the resource usage of EVM-related extrinsics on Peaq.,"Relying on default benchmarks leads to inaccurate weight calculations for transactions. This can result in underweight extrinsics, which pose a security risk by allowing transactions to consume more resources than allocated, potentially destabilizing the network.",Configuration,2024 H2/2409-peaq-srl/peaq-srl-2409.json
S1-42,Unsafe arithmetic can halt collator payouts,Low,pallets/parachains-staking,"The `get_collator_reward_per_session` function uses an arithmetic operation that is vulnerable to an overflow. If the total delegated stake exceeds the `u128::MAX` limit, the sum resets to zero, causing the reward calculation to incorrectly yield zero rewards for the collator.","In the unlikely event of an overflow, collators would not receive their due rewards, which could undermine their incentive to secure the network. This poses a low risk to the network's economic stability.",Implementation,2024 H2/2409-peaq-srl/peaq-srl-2409.json
S1-41,Lack of weight tracking in note_author() hook,Low,pallets/parachain_staking,"The `note_author()` hook, which tracks collator selection, performs state changes without tracking the associated computational weight. The resources consumed by its read and write operations are not reported to the runtime.","While the current weight is minimal, this is poor practice. If the function's complexity grows, the untracked weight could contribute to the creation of overweight blocks, potentially causing chain stalls.",Implementation,2024 H2/2409-peaq-srl/peaq-srl-2409.json
S1-32,Missing sanity checks for traitContract address,Low,contracts/SolarSeekers.sol,"The `traitContract` address is initialized during deployment without validation to ensure it is not a null or incorrect address. If a misconfiguration occurs, there is no in-contract mechanism to update the address post-deployment.","An incorrect `traitContract` address would render the primary `mintWithTraits` function unusable, breaking core contract functionality. The only remedy would be a costly and disruptive redeployment of the contract.",Implementation,2024 H2/2409-peaq-srl/peaq-srl-2409.json
S1-31,Single-step ownership transferal,Low,contracts,"The contracts utilize a single-step ownership transfer mechanism, where ownership is immediately transferred to a new address upon the owner's request. This process lacks a confirmation step from the recipient to verify their ability and intent to assume ownership.",Transferring ownership to a mistyped address or a contract that cannot manage ownership roles would result in a permanent loss of control. This could necessitate a full redeployment of the contract.,Access Control,2024 H2/2409-peaq-srl/peaq-srl-2409.json
S1-15,Incorrect topic selector for `RemoveAttribute` event submission,Low,precompiles,A typographical error in the `RemoveAttribute` function signature (`RemoveAttribte`) causes an incorrect event topic to be generated when the function is executed. This inconsistency affects systems that listen for this specific event.,Off-chain monitoring tools and other systems relying on event detection will fail to capture these events. This can lead to incomplete data and malfunctioning event-driven workflows.,Implementation,2024 H2/2409-peaq-srl/peaq-srl-2409.json
S0-38,Gas optimizations and logic efficiency,Informational,contracts,"The audit identified several opportunities for gas optimization. Recommendations include using custom errors over require strings, preferring prefix (++i) over postfix (i++) increments in loops, caching storage items in memory for complex operations, and setting function visibility to `external` where appropriate.",These optimizations do not address a direct vulnerability but would lead to reduced transaction fees for users and lower execution overhead for the network.,Implementation,2024 H2/2409-peaq-srl/peaq-srl-2409.json
S0-33,Missing events in SolarSeekers and SolarSeekersTraits contracts,Informational,contracts/SolarSeekers.sol,"Key functions that alter the contract's state, such as `updateTraits()` and `allowMint()`, do not emit events upon execution. The absence of event logging for these critical actions makes it difficult for off-chain applications to monitor and react to state changes.","The lack of events limits the capabilities of monitoring and tracing tools, potentially leading to an inaccurate or incomplete understanding of the system's state by external services.",Implementation,2024 H2/2409-peaq-srl/peaq-srl-2409.json
S0-19,Missing size checkings could lead to unnecessary gas cost,Informational,precompiles/peaq-rbac,"The `add_permission` precompile does not validate the size of input parameters before dispatching the call. If an input exceeds the maximum allowed size, the transaction is reverted, but only after consuming gas that could have been saved with an initial size check.","While not a security risk, this issue can lead to users paying for transactions that are destined to fail, resulting in unnecessary gas costs and a suboptimal user experience.",Input Validation,2024 H2/2409-peaq-srl/peaq-srl-2409.json
S0-17,Incorrect fields names in reverted function backtraces,Informational,precompiles,"When precompile calls fail, the logged backtraces use generic or misleading parameter names (e.g., `amount` instead of `value`). This makes troubleshooting and long-term maintenance of the codebase more cumbersome.","This issue does not pose a security risk but can cause confusion for developers and users trying to diagnose why a specific call was reverted, thereby increasing debugging time.",Documentation,2024 H2/2409-peaq-srl/peaq-srl-2409.json
HO-2503-01,Potential denial of service by storing non-whitelisted pairs from Bifrost oracle,High,pallets/ema-oracle,"Data from the Bifrost source is accepted and stored in the Accumulator even if the pair is not whitelisted. If Bifrost continuously pushes updates for non-whitelisted pairs, they consume the MaxUniqueEntries capacity, preventing valid (whitelisted) entries from being recorded, effectively cluttering the pallet with irrelevant data.","This can lead to a denial of service scenario where legitimate updates are locked out because the pallet's capacity is consumed by non-whitelisted, irrelevant data.",Input Validation,2025 Q1/hydration-oak-2503/hydration-oak-2503.json
HO-2503-02,Liquidity providers can be blocked from exit,High,pallets/stableswap,The `remove_liquidity_one_asset` function validates that either a provider performs a full exit or that the remaining liquidity is above `MinPoolLiquidity`. This logic creates scenarios where a liquidity provider who wishes to exit fully cannot do so if another provider's partial withdrawal leaves the pool liquidity just above the minimum threshold.,"A liquidity provider can be prevented from withdrawing their entire stake, effectively locking their funds in the pool until another user adds more liquidity.",Implementation,2025 Q1/hydration-oak-2503/hydration-oak-2503.json
HO-2503-03,Liquidity of any asset can be inflated or deflated by the registry owner,High,pallets/stableswap,"The `do_add_liquidity` function does not use the `normalize_value` function when adding new liquidity to a reserve. If the registry owner updates the decimals of a registered asset, all existing liquidity pools with that asset become corrupted, as the stored values are not adjusted for the new precision.","A malicious or mistaken registry owner can arbitrarily inflate or deflate the value of assets in liquidity pools, leading to significant financial loss for liquidity providers.",Implementation,2025 Q1/hydration-oak-2503/hydration-oak-2503.json
HO-2503-04,Unexpected behavior results from inability to remove oracle data set during genesis,Medium,pallets/ema-oracle,"Genesis oracle entries are stored in the pallet's storage without being added to the `WhitelistedAssets` variable. The `remove_oracle` extrinsic requires an asset to be whitelisted for removal, making it impossible to remove genesis-defined oracles if support for them is later discontinued.","The pallet accumulates unnecessary and outdated oracle data, which can lead to unintended oracle usage within the stableswap pallet.",Configuration,2025 Q1/hydration-oak-2503/hydration-oak-2503.json
HO-2503-05,Missing slippage protection in add_liquidity extrinsic,Medium,pallets/stableswap,"The `add_liquidity` function does not implement slippage protection, unlike other liquidity-related functions in the pallet. This is also inconsistent with Curve Finance's implementation, which includes a `min_mint_amount` parameter to protect users.","Users adding liquidity may receive significantly fewer shares than expected due to front-running attacks or market volatility, potentially resulting in financial losses.",Implementation,2025 Q1/hydration-oak-2503/hydration-oak-2503.json
HO-2503-06,Missing protection for rapid amplification changes,Medium,pallets/stableswap,"The `update_amplification` function lacks a minimum timeframe requirement between consecutive changes. This differs from Curve Finance, which enforces a one-day waiting period (`MIN_RAMP_TIME`) for such updates.","A malicious actor with privileged access could manipulate the amplification parameter in rapid succession, causing pool instability and creating arbitrage opportunities to extract value.",Access Control,2025 Q1/hydration-oak-2503/hydration-oak-2503.json
HO-2503-07,Pool destructure procedure is not complete,Medium,pallets/stableswap,"When a pool is destroyed via the `remove_liquidity` function, the corresponding peg data of type `PegInfo` is not removed from storage. This leaves stale entries in the `PoolPegs` storage map even though the pool is no longer active.","The system retains stale and orphaned data in its storage, which could lead to inconsistencies or unexpected behavior if other parts of the system assume that peg info corresponds to an active pool.",Implementation,2025 Q1/hydration-oak-2503/hydration-oak-2503.json
HO-2503-08,Silent duplication error handling during liquidity removal,Informational,pallets/stableswap,"The `remove_liquidity` function does not explicitly validate that asset IDs in `min_amounts_out` are unique. While it checks if the length matches the pool's asset count, a duplicate asset would cause a later failure with a generic `IncorrectAssets` error, obscuring the root cause.","Error handling is not precise, making debugging and off-chain error interpretation more difficult for developers and users.",Implementation,2025 Q1/hydration-oak-2503/hydration-oak-2503.json
HO-2503-09,Insufficient pool fee validation,Informational,pallets/stableswap,"The `update_pool_fee` function lacks important validations. It does not validate the new fee against a maximum allowed value, meaning a fee could be set to 100%, and it does not check if the new fee is different from the current one, allowing for redundant updates.","Without a fee ceiling, a malicious actor could set an extreme fee that breaks normal pool operations. Allowing redundant updates is inefficient.",Input Validation,2025 Q1/hydration-oak-2503/hydration-oak-2503.json
HO-2503-10,Missing staleness monitoring for oracle data,Informational,pallets/stableswap,"When fetching oracle data via `get_raw_entry`, the code does not verify whether the oracle feed is updating regularly. The pallet does not log any warnings if the oracle feed stops providing fresh data for an extended period.","The pallet may unknowingly rely on outdated price data, which could lead to incorrect pricing and financial decisions, especially if an oracle feed like Bifrost's ceases to operate.",Operational,2025 Q1/hydration-oak-2503/hydration-oak-2503.json
HO-2503-11,Potential for optimization in shares calculation,Informational,math/stableswap,"In the `calculate_shares` function, the call to `calculate_d` can be optimized for the specific case where `share_issuance` is zero. In this scenario, a result can be returned immediately without performing the more computationally expensive calculations that follow.","The code performs unnecessary computations in a specific, yet common, edge case, leading to minor gas inefficiencies.",Implementation,2025 Q1/hydration-oak-2503/hydration-oak-2503.json
HO-2503-12,Possible optimization in create_pool function,Informational,pallets/stableswap,"The `create_pool` function validates the length of the input `assets` vector against a maximum threshold, but it does so late in the function. An immediate validation at the start of the function would be more efficient.","The function may perform unnecessary operations before failing, leading to wasted execution time and gas in cases where the input asset vector is invalid.",Implementation,2025 Q1/hydration-oak-2503/hydration-oak-2503.json
HO-2503-13,Inconsistency in update_amplification specification,Informational,pallets/stableswap,The documentation comments for the `update_amplification` function do not match the actual implementation parameters. The comments reference different parameter names and structures than what the code uses.,"This inconsistency can cause confusion for developers during code maintenance or when integrating with the pallet, potentially leading to incorrect usage.",Documentation,2025 Q1/hydration-oak-2503/hydration-oak-2503.json
HO-2503-14,Misleading error messages,Informational,pallets/stableswap,"The `ArithmeticError::Overflow` error is used incorrectly in several places to report general validation issues, not just arithmetic overflows. Additionally, the `IncorrectAssets` error is returned for duplicate assets, when a more specific `DuplicatedAssets` error would be clearer.","Imprecise error messages make it harder for developers and users to diagnose the root cause of a problem, slowing down debugging and incident response.",Implementation,2025 Q1/hydration-oak-2503/hydration-oak-2503.json
HO-2503-15,Missed invariant verification,Informational,pallets/stableswap,"The `ensure_remove_liquidity_invariant` is verified during `remove_liquidity` and `remove_liquidity_one_asset` but is not verified in the `withdraw_asset_amount` function, which is also a form of liquidity removal.",The lack of this invariant check in one of the liquidity removal paths creates an inconsistency that could potentially hide bugs or regressions in that specific code path.,Implementation,2025 Q1/hydration-oak-2503/hydration-oak-2503.json
HO-2503-16,Redundant balance validations,Informational,pallets/stableswap,"The code includes several redundant assertions for user balances during liquidity withdrawals and deposits. For example, it checks if a user has enough shares to withdraw, but the underlying `T::Currency::withdraw` call would fail anyway if the balance is insufficient.","These redundant assertions reduce code readability and add marginal, unnecessary overhead to transaction processing.",Implementation,2025 Q1/hydration-oak-2503/hydration-oak-2503.json
HO-2503-17,Unresolved TODO comments in the codebase,Informational,pallets/stableswap,"Two `TODO` comments were identified in the `pallets/stableswap/src/lib.rs` file. In general, `TODO` and `FIXME` comments tend to accumulate without resolution and can become outdated.","Leaving `TODO` comments in the code can reduce long-term maintainability and readability, as they represent unresolved issues or technical debt.",Documentation,2025 Q1/hydration-oak-2503/hydration-oak-2503.json
potential-loss-of-funds-due-to-can-deposit-error-during-the-refund-process--pallet-bonded-coins--high,Potential loss of funds due to can_deposit error during the refund process,High,pallet-bonded-coins,"The refund_account extrinsic allows users to burn bonded tokens to claim collateral. However, a failure in the can_deposit check, for reasons such as the MaxConsumers limit being reached, is not handled correctly. This results in the user's tokens being burned while the collateral is not deposited into their account.","This flaw can lead to an irreversible loss of user funds, as their tokens are destroyed but the corresponding collateral is not returned.",Implementation,2025 Q1/kilt-oak-2502/kilt-oak-2502.json
configurations-of-polynomialparameters-can-lead-to-overflow--pallet-bonded-coins--low,Configurations of PolynomialParameters can lead to overflow,Low,pallet-bonded-coins,The implementation of the polynomial curve cost calculation lacks validation to restrict parameter values that could cause an arithmetic overflow. The `calculate_costs` function is susceptible to overflow due to squared operations on its parameters.,"An overflow during minting operations could lead to a locked pool where no further tokens can be minted, effectively causing a denial of service for that specific pool.",Input Validation,2025 Q1/kilt-oak-2502/kilt-oak-2502.json
the-maxconsumers-constraint-limits-multi-asset-pool-usability--pallet-bonded-coins--low,The MaxConsumers constraint limits multi-asset pool usability,Low,pallet-bonded-coins,"The pallet allows creating a pool with up to 50 currencies, but the chain's `MaxConsumers` limit restricts an account to holding only 16 non-sufficient assets. This constraint prevents users from participating in pools with a large number of currencies if they need to hold balances in many of them.","The usability and flexibility of multi-asset pools are significantly reduced, as pool designs that require a user to interact with more than 16 currencies become impractical.",Design,2025 Q1/kilt-oak-2502/kilt-oak-2502.json
incomplete-asset-cleanup-in-finish-destroy-extrinsic-may-leave-residual-tokens--pallet-bonded-coins--low,Incomplete asset cleanup in finish_destroy extrinsic may leave residual tokens,Low,pallet-bonded-coins,"The `finish_destroy` extrinsic, which completes a pool's destruction, does not account for tokens still held by users, particularly if the destruction was initiated forcibly. The function finalizes asset destruction without ensuring all user-held tokens have been burned.","Residual tokens may remain in user accounts after a pool is destroyed, leading to an inconsistent state and potential issues with supply accounting.",Implementation,2025 Q1/kilt-oak-2502/kilt-oak-2502.json
centralization-risks--pallet-bonded-coins--low,Centralization risks,Low,pallet-bonded-coins,"Multiple centralization risks were identified, granting excessive power to privileged roles. The pool manager can trigger pool destruction, freeze assets, and modify the management team. Furthermore, some administrative actions require root access (ForceOrigin), centralizing power in a single entity.",Excessive control by a pool manager or root account can undermine the system's trustlessness and could be abused to manipulate markets or misappropriate funds.,Design,2025 Q1/kilt-oak-2502/kilt-oak-2502.json
